"Samples","Observed","Chao1","se.chao1","Shannon","Simpson","Fisher"
"X90543_ID2592_1.A.HOBBS.A001.A03_S91_L001_R1_001","4","4","0","0.33609","0.1773","NaN"
"X90544_ID2592_2.B.HOBBS.A001.B03_S92_L001_R1_001","4","4","0","0.15433","0.06555","NaN"
"X90545_ID2592_3.C.HOBBS.A001.C03_S93_L001_R1_001","4","4","0","0.15967","0.06735","NaN"
"X90546_ID2592_4.D.HOBBS.A001.D03_S94_L001_R1_001","4","4","0","0.19002","0.08457","NaN"
"X90547_ID2592_5.A.RROSE.A001.E03_S95_L001_R1_001","4","4","0","0.11263","0.04084","NaN"
"X90548_ID2592_6.C.RROSE.1.A001.F03_S96_L001_R1_001","4","4","0","0.08534","0.02898","NaN"
"X90549_ID2592_7.C.RROSE.2.A001.G03_S97_L001_R1_001","4","4","0","0.1033","0.03705","NaN"
"X90550_ID2592_8.D.RROSE.A001.H03_S98_L001_R1_001","4","4","0","0.13169","0.04966","NaN"
"X90551_ID2592_9.A.DENVER.A001.A04_S99_L001_R1_001","5","5","0.44721","0.15791","0.06654","NaN"
"X90552_ID2592_10.B.DENVER.A001.B04_S100_L001_R1_001","5","5","0.44721","0.14153","0.05792","NaN"
"X90553_ID2592_11.C.DENVER.A001.C04_S101_L001_R1_001","4","4","0","0.09251","0.03235","NaN"
"X90554_ID2592_12.D.DENVER.A001.D04_S102_L001_R1_001","4","4","0","0.1093","0.04001","NaN"
"X90555_ID2592_13.A.KSW2.A001.E04_S103_L001_R1_001","4","4","0","0.10182","0.03832","NaN"
"X90556_ID2592_14.B.KSW2.A001.F04_S104_L001_R1_001","5","5","0","0.19997","0.08993","NaN"
"X90557_ID2592_15.C.KSW2.A001.G04_S105_L001_R1_001","4","4","0","0.1281","0.05153","NaN"
"X90558_ID2592_16.D.KSW2.A001.H04_S106_L001_R1_001","4","4","0","0.099","0.03351","NaN"
"X90559_ID2600_1.SB1.A001.A03_S219_L004_R1_001","4","4","0","0.23594","0.11321","NaN"
"X90560_ID2600_2.SB2.A001.B03_S220_L004_R1_001","4","4","0","0.10971","0.04136","NaN"
"X90561_ID2600_3.SB3.A001.C03_S221_L004_R1_001","4","4","0","0.09034","0.03217","NaN"
"X90562_ID2600_4.SB4.A001.D03_S222_L004_R1_001","4","4","0","0.11229","0.04201","NaN"
"X90563_ID2600_5.SB5.A001.E03_S223_L004_R1_001","4","4","0","0.10868","0.04037","NaN"
"X90564_ID2600_6.SB6.A001.F03_S224_L004_R1_001","4","4","0","0.08825","0.03058","NaN"